Model_1,Model_2,step2_random_sent_num,accuracy,group_size,Is_Same_Model
ChatGPT,ChatGPT,1,0.026455026455026454,189,True
ChatGPT,ChatGPT,2,0.32085561497326204,187,True
ChatGPT,ChatGPT,3,0.46464646464646464,198,True
ChatGPT,ChatGPT,4,0.29694323144104806,229,True
ChatGPT,ChatGPT,5,0.1116751269035533,197,True
ChatGPT,Claude,1,0.021164021164021163,189,False
ChatGPT,Claude,2,0.3422459893048128,187,False
ChatGPT,Claude,3,0.4444444444444444,198,False
ChatGPT,Claude,4,0.29694323144104806,229,False
ChatGPT,Claude,5,0.15228426395939088,197,False
ChatGPT,Grok,1,0.010582010582010581,189,False
ChatGPT,Grok,2,0.37967914438502676,187,False
ChatGPT,Grok,3,0.40404040404040403,198,False
ChatGPT,Grok,4,0.28820960698689957,229,False
ChatGPT,Grok,5,0.1218274111675127,197,False
ChatGPT,Gemini,1,0.010582010582010581,189,False
ChatGPT,Gemini,2,0.40106951871657753,187,False
ChatGPT,Gemini,3,0.47474747474747475,198,False
ChatGPT,Gemini,4,0.388646288209607,229,False
ChatGPT,Gemini,5,0.2233502538071066,197,False
ChatGPT,Llama,1,0.005291005291005291,189,False
ChatGPT,Llama,2,0.29411764705882354,187,False
ChatGPT,Llama,3,0.40404040404040403,198,False
ChatGPT,Llama,4,0.2838427947598253,229,False
ChatGPT,Llama,5,0.1319796954314721,197,False
ChatGPT,Deepseek,1,0.010582010582010581,189,False
ChatGPT,Deepseek,2,0.3315508021390374,187,False
ChatGPT,Deepseek,3,0.3787878787878788,198,False
ChatGPT,Deepseek,4,0.2576419213973799,229,False
ChatGPT,Deepseek,5,0.08629441624365482,197,False
Claude,ChatGPT,1,0.05405405405405406,222,False
Claude,ChatGPT,2,0.25252525252525254,198,False
Claude,ChatGPT,3,0.5078534031413613,191,False
Claude,ChatGPT,4,0.32972972972972975,185,False
Claude,ChatGPT,5,0.22058823529411764,204,False
Claude,Claude,1,0.0861244019138756,209,True
Claude,Claude,2,0.35096153846153844,208,True
Claude,Claude,3,0.6020942408376964,191,True
Claude,Claude,4,0.484375,192,True
Claude,Claude,5,0.51,200,True
Claude,Grok,1,0.03827751196172249,209,False
Claude,Grok,2,0.14423076923076922,208,False
Claude,Grok,3,0.4712041884816754,191,False
Claude,Grok,4,0.2604166666666667,192,False
Claude,Grok,5,0.23,200,False
Claude,Gemini,1,0.06698564593301436,209,False
Claude,Gemini,2,0.3557692307692308,208,False
Claude,Gemini,3,0.7539267015706806,191,False
Claude,Gemini,4,0.7083333333333334,192,False
Claude,Gemini,5,0.635,200,False
Claude,Llama,1,0.03349282296650718,209,False
Claude,Llama,2,0.2644230769230769,208,False
Claude,Llama,3,0.6178010471204188,191,False
Claude,Llama,4,0.3541666666666667,192,False
Claude,Llama,5,0.27,200,False
Claude,Deepseek,1,0.07177033492822966,209,False
Claude,Deepseek,2,0.20192307692307693,208,False
Claude,Deepseek,3,0.518324607329843,191,False
Claude,Deepseek,4,0.2916666666666667,192,False
Claude,Deepseek,5,0.33,200,False
Grok,ChatGPT,1,0.1485148514851485,202,False
Grok,ChatGPT,2,0.34375,192,False
Grok,ChatGPT,3,0.6296296296296297,216,False
Grok,ChatGPT,4,0.4810810810810811,185,False
Grok,ChatGPT,5,0.18536585365853658,205,False
Grok,Claude,1,0.2222222222222222,216,False
Grok,Claude,2,0.42857142857142855,196,False
Grok,Claude,3,0.7091836734693877,196,False
Grok,Claude,4,0.6054054054054054,185,False
Grok,Claude,5,0.357487922705314,207,False
Grok,Grok,1,0.1388888888888889,216,True
Grok,Grok,2,0.2193877551020408,196,True
Grok,Grok,3,0.5204081632653061,196,True
Grok,Grok,4,0.3837837837837838,185,True
Grok,Grok,5,0.15458937198067632,207,True
Grok,Gemini,1,0.18981481481481483,216,False
Grok,Gemini,2,0.45918367346938777,196,False
Grok,Gemini,3,0.6887755102040817,196,False
Grok,Gemini,4,0.7027027027027027,185,False
Grok,Gemini,5,0.7439613526570048,207,False
Grok,Llama,1,0.14814814814814814,216,False
Grok,Llama,2,0.32653061224489793,196,False
Grok,Llama,3,0.6377551020408163,196,False
Grok,Llama,4,0.5405405405405406,185,False
Grok,Llama,5,0.24154589371980675,207,False
Grok,Deepseek,1,0.09722222222222222,216,False
Grok,Deepseek,2,0.2857142857142857,196,False
Grok,Deepseek,3,0.5816326530612245,196,False
Grok,Deepseek,4,0.4,185,False
Grok,Deepseek,5,0.2028985507246377,207,False
Gemini,ChatGPT,1,0.22279792746113988,193,False
Gemini,ChatGPT,2,0.36097560975609755,205,False
Gemini,ChatGPT,3,0.3621621621621622,185,False
Gemini,ChatGPT,4,0.19339622641509435,212,False
Gemini,ChatGPT,5,0.17073170731707318,205,False
Gemini,Claude,1,0.3015075376884422,199,False
Gemini,Claude,2,0.453551912568306,183,False
Gemini,Claude,3,0.39303482587064675,201,False
Gemini,Claude,4,0.24651162790697675,215,False
Gemini,Claude,5,0.23267326732673269,202,False
Gemini,Grok,1,0.20100502512562815,199,False
Gemini,Grok,2,0.32786885245901637,183,False
Gemini,Grok,3,0.30845771144278605,201,False
Gemini,Grok,4,0.2,215,False
Gemini,Grok,5,0.21782178217821782,202,False
Gemini,Gemini,1,0.20603015075376885,199,True
Gemini,Gemini,2,0.4207650273224044,183,True
Gemini,Gemini,3,0.4079601990049751,201,True
Gemini,Gemini,4,0.2837209302325581,215,True
Gemini,Gemini,5,0.41089108910891087,202,True
Gemini,Llama,1,0.1708542713567839,199,False
Gemini,Llama,2,0.3989071038251366,183,False
Gemini,Llama,3,0.32338308457711445,201,False
Gemini,Llama,4,0.19534883720930232,215,False
Gemini,Llama,5,0.2524752475247525,202,False
Gemini,Deepseek,1,0.18090452261306533,199,False
Gemini,Deepseek,2,0.366120218579235,183,False
Gemini,Deepseek,3,0.3383084577114428,201,False
Gemini,Deepseek,4,0.17674418604651163,215,False
Gemini,Deepseek,5,0.20297029702970298,202,False
Llama,ChatGPT,1,0.005813953488372093,172,False
Llama,ChatGPT,2,0.2832618025751073,233,False
Llama,ChatGPT,3,0.4218009478672986,211,False
Llama,ChatGPT,4,0.2774869109947644,191,False
Llama,ChatGPT,5,0.30569948186528495,193,False
Llama,Claude,1,0.0582010582010582,189,False
Llama,Claude,2,0.40476190476190477,210,False
Llama,Claude,3,0.6682692307692307,208,False
Llama,Claude,4,0.5384615384615384,195,False
Llama,Claude,5,0.5050505050505051,198,False
Llama,Grok,1,0.026455026455026454,189,False
Llama,Grok,2,0.24761904761904763,210,False
Llama,Grok,3,0.44711538461538464,208,False
Llama,Grok,4,0.27692307692307694,195,False
Llama,Grok,5,0.26262626262626265,198,False
Llama,Gemini,1,0.037037037037037035,189,False
Llama,Gemini,2,0.30952380952380953,210,False
Llama,Gemini,3,0.5769230769230769,208,False
Llama,Gemini,4,0.5948717948717949,195,False
Llama,Gemini,5,0.5454545454545454,198,False
Llama,Llama,1,0.031746031746031744,189,True
Llama,Llama,2,0.3238095238095238,210,True
Llama,Llama,3,0.6009615384615384,208,True
Llama,Llama,4,0.4358974358974359,195,True
Llama,Llama,5,0.36363636363636365,198,True
Llama,Deepseek,1,0.05291005291005291,189,False
Llama,Deepseek,2,0.2761904761904762,210,False
Llama,Deepseek,3,0.4423076923076923,208,False
Llama,Deepseek,4,0.3333333333333333,195,False
Llama,Deepseek,5,0.30808080808080807,198,False
Deepseek,ChatGPT,1,0.07692307692307693,208,False
Deepseek,ChatGPT,2,0.2441860465116279,172,False
Deepseek,ChatGPT,3,0.4972972972972973,185,False
Deepseek,ChatGPT,4,0.2760416666666667,192,False
Deepseek,ChatGPT,5,0.3155080213903743,187,False
Deepseek,Claude,1,0.07329842931937172,191,False
Deepseek,Claude,2,0.21348314606741572,178,False
Deepseek,Claude,3,0.521505376344086,186,False
Deepseek,Claude,4,0.37254901960784315,204,False
Deepseek,Claude,5,0.4486486486486487,185,False
Deepseek,Grok,1,0.06806282722513089,191,False
Deepseek,Grok,2,0.17415730337078653,178,False
Deepseek,Grok,3,0.46774193548387094,186,False
Deepseek,Grok,4,0.27941176470588236,204,False
Deepseek,Grok,5,0.32432432432432434,185,False
Deepseek,Gemini,1,0.06282722513089005,191,False
Deepseek,Gemini,2,0.2752808988764045,178,False
Deepseek,Gemini,3,0.5698924731182796,186,False
Deepseek,Gemini,4,0.3872549019607843,204,False
Deepseek,Gemini,5,0.5675675675675675,185,False
Deepseek,Llama,1,0.05759162303664921,191,False
Deepseek,Llama,2,0.24157303370786518,178,False
Deepseek,Llama,3,0.5483870967741935,186,False
Deepseek,Llama,4,0.3235294117647059,204,False
Deepseek,Llama,5,0.3891891891891892,185,False
Deepseek,Deepseek,1,0.07329842931937172,191,True
Deepseek,Deepseek,2,0.17415730337078653,178,True
Deepseek,Deepseek,3,0.46774193548387094,186,True
Deepseek,Deepseek,4,0.29411764705882354,204,True
Deepseek,Deepseek,5,0.34594594594594597,185,True
